particle,x,y,t
0,246.992507935,220.25228881799998,0
0,247.06729126,220.14334106400003,1
0,247.173950195,220.34548950200002,2
0,246.991729736,220.19947814900002,3
0,246.814926147,220.318939209,4
0,246.959274292,220.021469116,5
0,246.95123291,220.06536865200002,6
0,246.786102295,220.44239807099999,7
0,246.613220215,220.497619629,8
0,246.809005737,220.246627808,9
0,246.88165283200001,220.304779053,10
0,246.97895813,220.03411865200002,11
0,246.957595825,220.015762329,12
0,246.97454834,220.213592529,13
0,246.82774353,220.362045288,14
0,247.039733887,220.360031128,15
0,247.114776611,220.317092895,16
0,247.098831177,220.332504272,17
0,246.833831787,220.37088012700002,18
0,247.056884766,220.535751343,19
0,247.09216308599997,220.28636169400002,20
0,246.949188232,220.565109253,21
0,247.088867188,220.40434265099998,22
0,247.113220215,220.323287964,23
0,247.215087891,220.327301025,24
0,246.78616333,220.256362915,25
0,247.114654541,220.147262573,26
0,247.127883911,220.028457642,27
0,247.112854004,220.133468628,28
0,246.935394287,219.929519653,29
0,246.675109863,219.84600830099998,30
0,246.721511841,219.695602417,31
0,246.70022583,219.505477905,32
0,246.879501343,219.73133850099998,33
0,246.67514038099998,219.48348999,34
0,246.524047852,219.326019287,35
0,246.58277893099998,219.32572937,36
0,246.372039795,219.221984863,37
0,246.26751709,219.106002808,38
0,246.30938720700001,218.962768555,39
0,246.59336853,219.163970947,40
0,246.607513428,219.18971252400002,41
0,246.734085083,219.22958374,42
0,246.55281066900002,219.42326355,43
0,246.463165283,219.403762817,44
0,246.537704468,219.132125855,45
0,246.706176758,219.23606872599998,46
0,246.39781189,219.25642395,47
0,246.38987731900002,219.210266113,48
0,246.64614868200002,219.274124145,49
0,246.47943115200002,219.24447631799998,50
0,246.57611084,219.11988830599998,51
0,246.52111816400003,219.000396728,52
0,246.503326416,219.110092163,53
0,246.31779480000003,218.939315796,54
0,246.48979187,218.87744140599997,55
0,246.47364807099999,218.72592163099998,56
0,246.58572387700002,219.01753234900002,57
0,246.651611328,219.102096558,58
0,246.59161376900002,218.880615234,59
0,246.525939941,218.665557861,60
0,246.402069092,218.899108887,61
0,246.515594482,219.10415649400002,62
0,246.604187012,219.07560730000003,63
0,246.47947692900001,218.90103149400002,64
0,246.338821411,219.03717041,65
0,246.17434692400002,219.08076477,66
0,246.392700195,219.042877197,67
0,246.292831421,218.950149536,68
0,246.280548096,218.933120728,69
0,246.43855285599997,219.039337158,70
0,246.414215088,219.044769287,71
0,246.35012817400002,219.003356934,72
0,246.41177368200002,218.931625366,73
0,246.53453064,219.040985107,74
0,246.51965332,219.18280029299999,75
0,246.511611939,219.17195129400002,76
0,246.575332642,219.141342163,77
0,246.48701477,219.163116455,78
0,246.52835083,219.107330322,79
0,246.50694274900002,219.174606323,80
0,246.54447937,219.18458557099999,81
0,246.55555725099998,218.97512817400002,82
0,246.483154297,218.89532470700001,83
0,246.555541992,218.743423462,84
0,246.525360107,218.92135620099998,85
0,246.596710205,219.059173584,86
0,246.57470703099997,219.019943237,87
0,246.556732178,218.67980957,88
0,246.671279907,218.574310303,89
0,246.975387573,218.385986328,90
0,246.975952148,218.212509155,91
0,246.80807495099998,218.37564086900002,92
0,247.039535522,218.423324585,93
0,246.975845337,218.153869629,94
0,246.898986816,218.22300720200002,95
0,246.818191528,218.37815856900002,96
0,246.599578857,218.627975464,97
0,246.924362183,218.39088439900002,98
0,247.12718200700002,218.37420654299999,99
0,246.824645996,218.361785889,100
0,246.594039917,218.58473205599998,101
0,246.48416137700002,218.539047241,102
0,246.801254272,218.30502319299998,103
0,246.548156738,218.66310119599999,104
0,246.508102417,218.65800476099997,105
0,246.501251221,218.68107605,106
0,246.820877075,218.385360718,107
0,247.109695435,218.251815796,108
0,247.136734009,218.36166381799998,109
0,247.040298462,218.21627807599998,110
0,247.120529175,218.058197022,111
0,247.11363220200002,218.13949585,112
0,247.007720947,218.000244141,113
0,247.14234924299998,217.71548461900002,114
0,247.093597412,217.754837036,115
0,247.016204834,217.657104492,116
0,246.95191955599998,217.587890625,117
0,246.932067871,217.626800537,118
0,246.984786987,217.69313049299998,119
0,247.00762939400002,217.67878723099997,120
0,246.993041992,217.63372802700002,121
0,246.95433044400002,217.578216553,122
0,247.005157471,217.515625,123
0,246.99728393599997,217.52253723099997,124
0,246.865112305,217.352401733,125
0,247.356292725,217.482528686,126
0,247.616729736,217.67709350599998,127
0,247.651397705,217.65745544400002,128
0,247.562026978,217.606918335,129
0,247.70455932599998,217.996688843,130
0,247.99797058099998,217.77626037599998,131
0,247.689453125,217.458831787,132
0,248.221298218,217.14569091799999,133
0,248.00897216799999,216.76084899900002,134
0,247.987716675,217.088562012,135
0,248.216644287,217.13633728,136
0,248.397155762,216.96653747599998,137
0,248.51051330599998,216.66136169400002,138
0,248.36541748099998,216.57400512700002,139
0,248.35633850099998,216.738220215,140
0,248.50090026900003,216.729370117,141
0,248.413742065,217.03620910599997,142
0,248.08473205599998,216.96450805700002,143
0,248.616333008,217.138839722,144
0,248.3515625,217.05683898900003,145
