particle,x,y,t
0,396.889770508,146.68763732899998,0
0,397.051116943,146.828582764,1
0,397.213897705,146.783233643,2
0,397.445251465,146.903167725,3
0,397.67922973599997,146.910354614,4
0,398.082824707,146.98286438,5
0,398.36282348599997,147.037948608,6
0,398.47219848599997,147.194869995,7
0,398.67623901400003,147.251052856,8
0,398.998840332,147.40246582,9
0,399.023681641,147.421035767,10
0,399.04031372099996,147.3230896,11
0,399.041778565,147.36732482899998,12
0,398.99130249,147.331283569,13
0,399.13040161099997,147.321090698,14
0,399.16638183599997,147.266799927,15
0,399.15582275400004,147.267333984,16
0,399.257904053,147.221328735,17
0,399.65356445300006,147.293518066,18
0,400.037353516,147.537490845,19
0,400.23483276400003,147.508071899,20
0,400.494049072,147.438613892,21
0,400.537231445,147.280471802,22
0,400.50073242199994,147.14541626,23
0,400.63739013699995,147.343566894,24
0,400.847595215,147.760238647,25
0,401.61117553699995,148.335006714,26
0,402.425292969,148.280105591,27
0,402.57888794,147.8515625,28
0,402.598449707,147.709152222,29
0,401.44180297800006,147.722061157,30
0,401.426330566,148.387832642,31
0,401.760650635,148.51345825200002,32
0,401.978607178,148.578536987,33
0,402.22192382800006,148.82119751,34
0,402.39016723599997,148.94760131799998,35
0,402.351654053,148.909515381,36
0,402.42422485300006,148.955352783,37
0,402.78088378900003,148.896438599,38
0,402.94439697300004,148.962020874,39
0,403.29641723599997,149.119171143,40
0,403.740875244,148.889953613,41
0,404.044433594,148.931259155,42
0,404.33639526400003,148.978775024,43
0,404.32482910199997,149.085250855,44
0,404.44097900400004,149.058578491,45
0,404.56961059599996,149.10585022,46
0,404.856262207,149.295806885,47
0,405.014251709,149.406341553,48
0,405.050964356,149.499176025,49
0,405.060729981,149.501998901,50
0,405.13830566400003,149.698760986,51
0,405.19290161099997,149.774520874,52
0,405.382629394,149.985427856,53
0,405.662384033,150.001327515,54
0,405.872192383,149.869216919,55
0,405.95861816400003,149.91958618200002,56
0,406.20831298800005,149.600982666,57
0,406.18041992199994,149.752487183,58
0,406.459838867,150.041595459,59
0,406.607696533,150.16796875,60
0,406.721252441,150.238479614,61
0,406.75869751,150.345809936,62
0,406.888031006,150.346939087,63
0,407.21423339800003,150.572891235,64
0,407.432159424,150.656341553,65
0,407.820037842,150.477539062,66
0,408.23370361300005,150.43438720700001,67
0,408.377471924,150.785995483,68
0,408.75411987300004,150.783386231,69
0,408.845123291,150.759750366,70
0,409.22229003900003,150.626449585,71
0,409.237731934,150.619750977,72
0,409.352630615,150.701461792,73
0,409.5753479,150.738204956,74
0,409.576354981,150.86444091799999,75
0,409.974639893,150.84312439,76
0,410.138092041,150.984298706,77
0,410.248321533,151.03411865200002,78
0,410.457061768,151.079406738,79
0,410.622955322,151.16897583,80
0,410.81842041,151.25274658200001,81
0,410.79583740199996,151.361358643,82
0,410.984344482,151.538879394,83
0,410.911590576,151.739212036,84
0,411.190551758,151.708007812,85
0,411.217376709,151.668167114,86
0,411.40499877900004,151.68586731,87
0,411.46936035199997,151.76837158200001,88
0,411.653747559,151.83480835,89
0,411.810638428,151.942230225,90
0,411.755004883,152.16038513200002,91
0,411.98550415,152.267425537,92
0,412.040924072,152.283020019,93
0,412.329284668,152.293563843,94
0,412.562744141,152.486877441,95
0,412.76022338900003,152.374435425,96
0,412.77523803699995,152.388076782,97
0,412.880615234,152.400588989,98
0,412.96463012699996,152.479980469,99
0,413.115753174,152.634719849,100
0,413.09753418,152.719512939,101
0,413.077484131,152.607955933,102
0,413.572753906,152.676803589,103
0,413.75646972699997,152.895980835,104
0,413.955261231,152.911575317,105
0,413.996185303,152.995361328,106
0,414.21057128900003,152.972640991,107
0,414.47979736300005,152.96910095200002,108
0,414.601806641,152.958358765,109
0,414.874053955,152.86201477,110
0,414.912078857,152.846420288,111
0,414.88415527300003,152.847686768,112
0,415.13516235300006,152.852508545,113
0,415.29589843800005,153.060745239,114
0,415.33160400400004,153.019943237,115
